rizz,aura,lore,delusion
8.496714153011233,7.861735698828816,2.6476885381006925,10.0
7.765846625276664,7.765863043050819,3.5792128155073915,9.767434729152908
7.530525614065048,8.542560043585965,1.5365823071875377,8.534270246429744
8.241962271566035,6.086719755342202,0.27508216748696723,8.437712470759028
6.987168879665576,8.314247332595274,1.0919759244787892,7.587696298664708
9.465648768921554,7.774223699513464,2.0675282046879238,7.575251813786544
7.455617275474817,8.110922589709865,0.8490064225776972,9.375698018345672
7.399361310081195,7.708306250206723,1.398293387770603,10.0
7.986502775262066,6.942289071044099,2.822544912103189,7.779156350028978
8.208863595004756,6.040329876120224,0.6718139511015695,9.196861235869124
8.73846657999541,8.17136828118997,1.8843517176117595,8.698896304410711
6.521478009632572,7.280155791605291,1.5393612290402126,10.0
8.343618289568461,6.236959844637266,2.324083969394795,8.614917719583683
7.323077999694041,8.611676288840869,3.030999522495951,9.931280119116199
7.160782476777362,7.690787624148785,2.331263431403564,9.97554512712236
7.52082576215471,7.8143410233361825,0.8936650259939718,7.803793375919329
8.812525822394198,9.356240028570824,1.927989878419666,10.0
8.361636025047634,7.354880245394876,2.361395605508414,10.0
7.964173960890048,9.564643655814006,0.0,9.821902504375224
8.08704706823817,7.7009926495341325,2.0917607765355024,7.012431085399108
7.780328112162488,8.357112571511747,3.4778940447415163,8.481729781726353
7.191506397106813,7.498242956415464,2.915402117702074,9.328751109659684
7.470239796232962,8.513267433113356,2.0970775493480405,9.968644990532889
7.297946906122648,7.672337853402232,1.6078918468678425,7.536485051867881
8.296120277064576,8.26105527217989,2.005113456642461,8.765412866624853
6.584629257949586,7.579354677234641,1.6572854834732305,8.19772273077838
7.838714288333991,8.40405085681454,3.8861859012105304,9.174577812831838
8.257550390722765,7.925554084233832,0.08122878470095851,8.973486124550783
8.060230209941027,10.0,1.8076390352188776,9.301547342333613
7.965288230294757,6.831321962380468,3.1428228145150205,9.751933032686773
8.791031947043047,7.090612545205261,3.402794310936099,7.5981489372077196
8.58685709380027,10.0,1.0094636748693118,8.433702270397228
8.099651365087642,7.496524345883801,0.4493365689338673,9.068562974806028
6.937696286273895,8.47359243063518,1.0805757657661967,10.0
7.216746707663763,7.677938483794325,2.81351721736967,7.769135683566045
8.227459934604129,9.307142754282427,0.39251676543877245,9.184633858532305
8.259882794248423,8.78182287177731,0.763049289121918,7.679543386915723
8.521941565616897,8.296984673233187,2.2504928503458768,9.346448209496975
7.319975278421509,8.232253697161003,2.293072473298681,8.285648581973632
9.865774511144757,8.473832920911788,0.8086965027973514,9.65655360863383
7.025318329772679,8.787084603742452,3.158595579007404,8.179317681648289
8.963376129244322,8.412780926936499,2.82206015999449,10.0
7.754611883997129,7.246263835642511,1.1104855703744767,8.184189715034561
7.922898290585896,8.341151974816643,2.276690799330019,9.827183249036024
8.013001891877908,9.453534077157316,1.735343166762044,10.0
8.625667347765006,7.142842443583717,0.9291075019388877,9.482472415243185
7.776537214674149,8.714000494092092,2.473237624573545,8.927171087343128
7.153206281931595,6.485152775314136,1.553485047932979,9.856398794323471
8.214093744130205,6.7542612212880115,2.173180925851182,9.385317379728837
7.116142563798867,8.153725105945528,2.058208718446,7.857029702169377
8.357787360348283,8.560784526368234,3.083051243175277,10.0
6.6223306320429085,7.062174960084877,2.5150352672086598,9.513785950912208
8.515047686306048,10.0,2.570890510693167,10.0
8.954001763493203,8.651391251305798,1.6847307553596544,9.758969220493267
7.227174785462428,7.763181393259991,1.5146364521708966,9.081874139386322
10.0,6.1327348074082515,2.6862601903745134,7.387284128810348
7.528068134210566,9.088950596967367,2.0642800190954627,7.922255222070694
7.284696290740031,8.679597748934675,1.2696333682828633,9.216458589581976
8.045571839903813,7.348399652394183,4.143944089325325,9.633919022318011
5.974857413342393,8.186454314769428,1.338213535231612,9.852433334796224
7.2074792615673,7.885263558533101,2.5049872789804573,9.865755194170122
6.7997035929442236,7.665498764159052,1.525054688839044,8.346670767426287
9.765454240281096,8.404981710960955,0.7391160456649548,9.917861947054776
10.0,9.032465260551147,0.4806300340459866,8.51576592713375
9.266911149186623,7.292330534381219,2.443819428146228,9.774634053429336
7.073069528421917,7.9404746439382,0.0,7.97561235866571
7.74743184860684,6.7522168180351505,3.6324113039316352,7.5698586220393675
7.5599555133030165,8.130740577286092,3.4412732890661157,7.564137848820561
9.16316375215496,8.010233061019587,1.018491348952049,9.462103474263271
8.199059695573471,7.399783122841205,2.0698020849900187,8.61468640313824
8.113517345251248,8.662130674521046,3.586016816145352,7.7621845011731505
10.0,6.047912200477498,1.8482149049644168,9.588317206484577
8.280991867735032,7.377300480179406,1.7918777496427247,8.506999065341168
7.410635243055788,8.849602097021025,2.3570154859650474,8.307090404739347
8.899599875433251,8.30729952087661,2.81286211883896,9.629628841923612
7.171004989077928,7.439818959803031,2.7472936051232617,9.610370265433465
7.979098406035852,8.117327383308782,3.277664895788425,8.40842861116417
8.547097381170039,7.797807347566106,1.7823187967727798,10.0
8.82541634898803,8.813509636000639,3.305478807154329,9.021003841632758
8.681952971294963,7.689733243406544,2.324166352488442,8.869856945632316
8.096995964992718,8.595157025436913,1.1817793167665274,10.0
6.993982618500298,6.785811387212268,3.1581108735000676,9.791662693962936
8.624119817052154,8.62834550926428,1.9877532271530853,8.10274562851417
8.075804558193726,7.322838288487889,2.9751197334177513,8.852942618497861
7.1745028032074885,7.678614158347006,2.412931454275624,8.436275447196024
7.177779604433568,8.243687211491912,2.2449665711087228,8.49305682462887
7.528961694381677,8.232049937357637,0.5519156585026759,7.592536225623444
7.281555778747564,7.786552848288153,2.3109075655980047,10.0
8.85765962320202,7.840061470036573,1.9809837920973112,7.997470635362191
7.98148686400761,7.711341361079862,2.3227185603380893,8.172769056447677
8.519346514241173,9.532738913002579,1.8912398515431423,9.401711722098941
8.690143991711112,7.5987795281141635,2.2240924818104166,9.012592400781795
8.097676098548831,7.226990216144533,2.0245101742589426,9.49799829124545
9.451143607795041,8.959270826085207,4.153182457511557,8.23265243711195
8.872320636720678,8.183342005738352,4.189802933217672,8.191701714644848
7.160278157819224,7.400607354555978,0.0,8.47424497831924
7.240867338446302,8.150393786476208,2.3417559757771595,10.0
8.950423838186051,7.423096344337597,1.101585328651642,9.491919171506506
6.679766792979358,9.831458765854354,3.179440120721287,8.530824347895296
6.286865470909122,9.353872374165412,1.8854601547473822,10.0
6.405572341205633,7.400624977046228,2.005243699718183,9.046980593764742
7.549934528520756,8.6228499323475,0.9323795706174056,8.857620514978706
8.1202956317119,8.51443883405875,2.7116148780888896,7.8753579081621305
6.465885829264378,9.27767682189851,2.3323140119795918,8.251513463443446
9.551151975522522,8.115674634292859,3.1792971840638264,9.06751848141011
10.0,9.755340842443204,1.7510358515209266,9.971570950954355
